Entry,Message,SignTime_uS
2774,"t=22.78,h=35.21,p=1008.50",46318
2775,"t=22.78,h=35.27,p=1008.48",46315
2776,"t=22.78,h=35.27,p=1008.48",46316
2777,"t=22.78,h=35.22,p=1008.49",46326
2778,"t=22.78,h=35.22,p=1008.49",46312
2779,"t=22.78,h=35.25,p=1008.47",46319
2780,"t=22.78,h=35.25,p=1008.47",46307
2781,"t=22.78,h=35.23,p=1008.48",46318
2782,"t=22.78,h=35.23,p=1008.48",46310
2783,"t=22.78,h=35.25,p=1008.49",46326
2784,"t=22.78,h=35.25,p=1008.49",46315
2785,"t=22.78,h=35.23,p=1008.49",46318
2786,"t=22.78,h=35.23,p=1008.49",46316
2787,"t=22.78,h=35.23,p=1008.48",46318
2788,"t=22.78,h=35.23,p=1008.48",46313
2789,"t=22.78,h=35.22,p=1008.51",46313
2790,"t=22.78,h=35.22,p=1008.51",46323
2791,"t=22.78,h=35.22,p=1008.48",46310
2792,"t=22.78,h=35.22,p=1008.48",46316
2793,"t=22.78,h=35.23,p=1008.50",46357
2794,"t=22.78,h=35.23,p=1008.50",46325
2795,"t=22.78,h=35.23,p=1008.48",46306
2796,"t=22.78,h=35.23,p=1008.48",46323
2797,"t=22.78,h=35.23,p=1008.48",46309
2798,"t=22.78,h=35.23,p=1008.48",46325
2799,"t=22.78,h=35.23,p=1008.48",46309
2800,"t=22.78,h=35.23,p=1008.48",46319
2801,"t=22.78,h=35.23,p=1008.50",46320
2802,"t=22.78,h=35.23,p=1008.50",46326
2803,"t=22.78,h=35.23,p=1008.49",46313
2804,"t=22.78,h=35.23,p=1008.49",46311
2805,"t=22.78,h=35.23,p=1008.49",46321
2806,"t=22.78,h=35.23,p=1008.48",46311
2807,"t=22.78,h=35.23,p=1008.48",46320
2808,"t=22.78,h=35.23,p=1008.51",46312
2809,"t=22.78,h=35.23,p=1008.51",46319
2810,"t=22.78,h=35.23,p=1008.48",46311
2811,"t=22.78,h=35.23,p=1008.48",46318
2812,"t=22.79,h=35.24,p=1008.51",46324
2813,"t=22.79,h=35.24,p=1008.51",46306
2814,"t=22.78,h=35.23,p=1008.52",46320
2815,"t=22.78,h=35.23,p=1008.52",46321
2816,"t=22.79,h=35.22,p=1008.50",46313
2817,"t=22.79,h=35.22,p=1008.50",46309
2818,"t=22.79,h=35.23,p=1008.52",46326
2819,"t=22.79,h=35.23,p=1008.52",46317
2820,"t=22.79,h=35.23,p=1008.49",46325
2821,"t=22.79,h=35.23,p=1008.49",46321
2822,"t=22.79,h=35.21,p=1008.50",46330
2823,"t=22.79,h=35.21,p=1008.50",46321
2824,"t=22.79,h=35.22,p=1008.50",46324
2825,"t=22.79,h=35.22,p=1008.50",46317
2826,"t=22.78,h=35.24,p=1008.50",46328
2827,"t=22.78,h=35.24,p=1008.50",46314
2828,"t=22.78,h=35.22,p=1008.49",46326
2829,"t=22.78,h=35.22,p=1008.49",46312
2830,"t=22.78,h=35.25,p=1008.51",46318
2831,"t=22.78,h=35.25,p=1008.51",46308
2832,"t=22.78,h=35.23,p=1008.49",46308
2833,"t=22.78,h=35.23,p=1008.49",46325
2834,"t=22.78,h=35.22,p=1008.50",46316
2835,"t=22.78,h=35.22,p=1008.50",46327
2836,"t=22.78,h=35.21,p=1008.49",46312
2837,"t=22.78,h=35.21,p=1008.49",46319
2838,"t=22.79,h=35.23,p=1008.44",46311
2839,"t=22.79,h=35.23,p=1008.44",46321
2840,"t=22.78,h=35.23,p=1008.48",46314
2841,"t=22.78,h=35.23,p=1008.48",46316
2842,"t=22.78,h=35.23,p=1008.48",46317
2843,"t=22.78,h=35.23,p=1008.48",46319
2844,"t=22.78,h=35.23,p=1008.49",46313
2845,"t=22.78,h=35.23,p=1008.49",46338
2846,"t=22.79,h=35.23,p=1008.48",46315
2847,"t=22.79,h=35.23,p=1008.48",46316
2848,"t=22.77,h=35.23,p=1008.48",46320
2849,"t=22.77,h=35.23,p=1008.48",46309
2850,"t=22.78,h=35.23,p=1008.49",46319
2851,"t=22.78,h=35.23,p=1008.49",46316
2852,"t=22.79,h=35.23,p=1008.48",46329
2853,"t=22.79,h=35.23,p=1008.48",46319
2854,"t=22.78,h=35.23,p=1008.47",46325
2855,"t=22.78,h=35.23,p=1008.47",46312
2856,"t=22.78,h=35.23,p=1008.47",46322
2857,"t=22.78,h=35.23,p=1008.47",46310
2858,"t=22.78,h=35.23,p=1008.47",46314
2859,"t=22.79,h=35.23,p=1008.49",46325
2860,"t=22.79,h=35.23,p=1008.49",46317
2861,"t=22.78,h=35.24,p=1008.48",46351
2862,"t=22.78,h=35.24,p=1008.48",46346
2863,"t=22.78,h=35.23,p=1008.48",46307
2864,"t=22.78,h=35.23,p=1008.48",46310
2865,"t=22.79,h=35.23,p=1008.47",46332
2866,"t=22.79,h=35.23,p=1008.47",46326
2867,"t=22.79,h=35.24,p=1008.50",46320
2868,"t=22.79,h=35.24,p=1008.50",46334
2869,"t=22.79,h=35.24,p=1008.46",46319
2870,"t=22.79,h=35.24,p=1008.46",46309
2871,"t=22.78,h=35.25,p=1008.50",46333
2872,"t=22.78,h=35.25,p=1008.50",46321
2873,"t=22.78,h=35.24,p=1008.48",46325
2874,"t=22.78,h=35.24,p=1008.48",46313
2875,"t=22.79,h=35.25,p=1008.49",46314
2876,"t=22.79,h=35.25,p=1008.49",46316
2877,"t=22.79,h=35.23,p=1008.48",46316
2878,"t=22.79,h=35.23,p=1008.48",46322
2879,"t=22.79,h=35.21,p=1008.46",46322
2880,"t=22.79,h=35.21,p=1008.46",46329
2881,"t=22.79,h=35.23,p=1008.48",46312
2882,"t=22.79,h=35.23,p=1008.48",46326
2883,"t=22.79,h=35.22,p=1008.49",46312
2884,"t=22.79,h=35.22,p=1008.49",46326
2885,"t=22.79,h=35.24,p=1008.50",46311
2886,"t=22.79,h=35.24,p=1008.50",46320
2887,"t=22.79,h=35.23,p=1008.48",46333
2888,"t=22.79,h=35.23,p=1008.48",46358
2889,"t=22.78,h=35.25,p=1008.49",46352
2890,"t=22.78,h=35.25,p=1008.49",46316
2891,"t=22.79,h=35.23,p=1008.49",46325
2892,"t=22.79,h=35.23,p=1008.49",46340
2893,"t=22.79,h=35.24,p=1008.47",46327
2894,"t=22.79,h=35.24,p=1008.47",46321
2895,"t=22.79,h=35.24,p=1008.48",46318
2896,"t=22.79,h=35.24,p=1008.48",46310
2897,"t=22.79,h=35.23,p=1008.49",46328
2898,"t=22.79,h=35.23,p=1008.49",46314
2899,"t=22.79,h=35.23,p=1008.50",46317
2900,"t=22.79,h=35.23,p=1008.50",46305
2901,"t=22.79,h=35.23,p=1008.48",46327
2902,"t=22.79,h=35.23,p=1008.48",46320
2903,"t=22.77,h=35.23,p=1008.46",46307
2904,"t=22.77,h=35.23,p=1008.46",46322
2905,"t=22.79,h=35.23,p=1008.49",46316
2906,"t=22.79,h=35.23,p=1008.49",46330
2907,"t=22.79,h=35.23,p=1008.48",46322
2908,"t=22.79,h=35.23,p=1008.48",46315
2909,"t=22.79,h=35.23,p=1008.48",46312
2910,"t=22.79,h=35.23,p=1008.48",46323
2911,"t=22.79,h=35.23,p=1008.48",46311
2912,"t=22.77,h=35.23,p=1008.45",46313
2913,"t=22.77,h=35.23,p=1008.45",46316
2914,"t=22.79,h=35.24,p=1008.51",46315
2915,"t=22.79,h=35.24,p=1008.51",46312
2916,"t=22.79,h=35.23,p=1008.47",46368
2917,"t=22.79,h=35.23,p=1008.47",46336
2918,"t=22.79,h=35.24,p=1008.49",46307
2919,"t=22.79,h=35.24,p=1008.49",46321
2920,"t=22.79,h=35.23,p=1008.49",46323
2921,"t=22.79,h=35.23,p=1008.49",46325
2922,"t=22.79,h=35.23,p=1008.47",46324
2923,"t=22.79,h=35.23,p=1008.47",46321
2924,"t=22.79,h=35.23,p=1008.49",46320
2925,"t=22.79,h=35.23,p=1008.49",46325
2926,"t=22.79,h=35.25,p=1008.48",46313
2927,"t=22.79,h=35.25,p=1008.48",46328
2928,"t=22.79,h=35.24,p=1008.46",46312
2929,"t=22.79,h=35.24,p=1008.46",46323
2930,"t=22.78,h=35.27,p=1008.48",46310
2931,"t=22.78,h=35.27,p=1008.48",46324
2932,"t=22.79,h=35.23,p=1008.47",46331
2933,"t=22.79,h=35.23,p=1008.47",46338
2934,"t=22.79,h=35.27,p=1008.47",46314
2935,"t=22.79,h=35.27,p=1008.47",46313
2936,"t=22.79,h=35.23,p=1008.46",46335
2937,"t=22.79,h=35.23,p=1008.46",46319
2938,"t=22.79,h=35.23,p=1008.48",46325
2939,"t=22.79,h=35.23,p=1008.48",46312
2940,"t=22.79,h=35.25,p=1008.47",46319
2941,"t=22.79,h=35.25,p=1008.47",46319
2942,"t=22.78,h=35.25,p=1008.46",46319
2943,"t=22.78,h=35.25,p=1008.46",46319
2944,"t=22.78,h=35.25,p=1008.44",46342
2945,"t=22.78,h=35.25,p=1008.44",46325
2946,"t=22.78,h=35.24,p=1008.48",46313
2947,"t=22.78,h=35.24,p=1008.48",46324
2948,"t=22.78,h=35.24,p=1008.46",46314
2949,"t=22.78,h=35.24,p=1008.46",46319
2950,"t=22.78,h=35.24,p=1008.44",46315
2951,"t=22.78,h=35.24,p=1008.44",46322
2952,"t=22.78,h=35.24,p=1008.47",46313
2953,"t=22.78,h=35.24,p=1008.47",46320
2954,"t=22.78,h=35.24,p=1008.46",46309
2955,"t=22.78,h=35.24,p=1008.46",46319
2956,"t=22.79,h=35.25,p=1008.51",46309
2957,"t=22.79,h=35.25,p=1008.51",46322
2958,"t=22.79,h=35.24,p=1008.49",46309
2959,"t=22.79,h=35.24,p=1008.49",46332
2960,"t=22.79,h=35.24,p=1008.49",46319
2961,"t=22.78,h=35.21,p=1008.47",46315
2962,"t=22.78,h=35.21,p=1008.47",46322
2963,"t=22.79,h=35.24,p=1008.46",46310
2964,"t=22.79,h=35.24,p=1008.46",46319
2965,"t=22.78,h=35.24,p=1008.47",46313
2966,"t=22.78,h=35.24,p=1008.47",46322
2967,"t=22.79,h=35.24,p=1008.48",46309
2968,"t=22.79,h=35.24,p=1008.48",46311
2969,"t=22.79,h=35.25,p=1008.51",46308
2970,"t=22.79,h=35.25,p=1008.51",46312
2971,"t=22.79,h=35.25,p=1008.49",46318
2972,"t=22.79,h=35.25,p=1008.49",46309
2973,"t=22.79,h=35.24,p=1008.45",46307
2974,"t=22.79,h=35.24,p=1008.45",46336
2975,"t=22.78,h=35.25,p=1008.45",46319
2976,"t=22.78,h=35.25,p=1008.45",46307
2977,"t=22.79,h=35.27,p=1008.45",46308
2978,"t=22.79,h=35.27,p=1008.45",46309
2979,"t=22.79,h=35.22,p=1008.45",46315
2980,"t=22.79,h=35.22,p=1008.45",46320
2981,"t=22.79,h=35.24,p=1008.47",46330
2982,"t=22.79,h=35.24,p=1008.47",46318
2983,"t=22.78,h=35.22,p=1008.41",46321
2984,"t=22.78,h=35.22,p=1008.41",46312
2985,"t=22.78,h=35.24,p=1008.46",46316
2986,"t=22.78,h=35.24,p=1008.46",46306
2987,"t=22.78,h=35.25,p=1008.43",46316
2988,"t=22.78,h=35.25,p=1008.43",46323
2989,"t=22.78,h=35.23,p=1008.44",46308
2990,"t=22.78,h=35.23,p=1008.44",46320
2991,"t=22.78,h=35.24,p=1008.43",46314
2992,"t=22.78,h=35.24,p=1008.43",46326
2993,"t=22.79,h=35.25,p=1008.49",46308
2994,"t=22.79,h=35.25,p=1008.49",46317
2995,"t=22.79,h=35.24,p=1008.49",46311
2996,"t=22.79,h=35.24,p=1008.49",46319
2997,"t=22.79,h=35.25,p=1008.49",46306
2998,"t=22.79,h=35.25,p=1008.49",46315
2999,"t=22.79,h=35.25,p=1008.49",46312
3000,"t=22.79,h=35.25,p=1008.49",46318
3001,"t=22.79,h=35.25,p=1008.47",46326
3002,"t=22.79,h=35.25,p=1008.47",46317
3003,"t=22.79,h=35.25,p=1008.48",46323
3004,"t=22.79,h=35.25,p=1008.48",46317
3005,"t=22.79,h=35.25,p=1008.47",46323
3006,"t=22.79,h=35.25,p=1008.47",46317
3007,"t=22.79,h=35.25,p=1008.47",46323
3008,"t=22.79,h=35.25,p=1008.47",46327
3009,"t=22.79,h=35.25,p=1008.46",46320
3010,"t=22.79,h=35.25,p=1008.46",46314
3011,"t=22.79,h=35.25,p=1008.46",46323
3012,"t=22.79,h=35.25,p=1008.48",46315
3013,"t=22.79,h=35.25,p=1008.48",46324
3014,"t=22.79,h=35.27,p=1008.49",46311
3015,"t=22.79,h=35.27,p=1008.49",46315
3016,"t=22.79,h=35.23,p=1008.46",46322
3017,"t=22.79,h=35.23,p=1008.46",46368
3018,"t=22.79,h=35.24,p=1008.46",46319
3019,"t=22.79,h=35.24,p=1008.46",46315
3020,"t=22.78,h=35.24,p=1008.48",46321
3021,"t=22.78,h=35.24,p=1008.48",46318
3022,"t=22.78,h=35.25,p=1008.47",46317
3023,"t=22.78,h=35.25,p=1008.47",46313
3024,"t=22.79,h=35.25,p=1008.49",46318
3025,"t=22.79,h=35.25,p=1008.49",46316
3026,"t=22.78,h=35.25,p=1008.49",46326
3027,"t=22.78,h=35.25,p=1008.49",46314
3028,"t=22.78,h=35.24,p=1008.48",46313
3029,"t=22.78,h=35.24,p=1008.48",46326
3030,"t=22.79,h=35.24,p=1008.48",46311
3031,"t=22.79,h=35.24,p=1008.48",46326
3032,"t=22.78,h=35.27,p=1008.48",46312
3033,"t=22.78,h=35.27,p=1008.48",46329
3034,"t=22.79,h=35.25,p=1008.46",46311
3035,"t=22.79,h=35.25,p=1008.46",46320
3036,"t=22.79,h=35.24,p=1008.49",46309
3037,"t=22.79,h=35.24,p=1008.49",46321
3038,"t=22.79,h=35.23,p=1008.47",46334
3039,"t=22.79,h=35.23,p=1008.47",46323
3040,"t=22.79,h=35.24,p=1008.47",46332
3041,"t=22.79,h=35.24,p=1008.47",46319
3042,"t=22.79,h=35.23,p=1008.47",46323
3043,"t=22.79,h=35.23,p=1008.47",46363
3044,"t=22.79,h=35.23,p=1008.50",46315
3045,"t=22.79,h=35.23,p=1008.50",46307
3046,"t=22.79,h=35.24,p=1008.49",46318
3047,"t=22.79,h=35.24,p=1008.49",46333
3048,"t=22.79,h=35.24,p=1008.47",46330
3049,"t=22.79,h=35.24,p=1008.47",46318
3050,"t=22.79,h=35.24,p=1008.46",46321
3051,"t=22.79,h=35.24,p=1008.46",46342
3052,"t=22.78,h=35.24,p=1008.43",46322
3053,"t=22.78,h=35.24,p=1008.43",46313
3054,"t=22.79,h=35.24,p=1008.47",46325
3055,"t=22.79,h=35.24,p=1008.47",46326
3056,"t=22.79,h=35.25,p=1008.46",46318
3057,"t=22.79,h=35.25,p=1008.46",46320
3058,"t=22.78,h=35.25,p=1008.48",46309
3059,"t=22.78,h=35.25,p=1008.48",46325
3060,"t=22.78,h=35.24,p=1008.46",46308
3061,"t=22.78,h=35.24,p=1008.46",46316
3062,"t=22.78,h=35.24,p=1008.46",46308
3063,"t=22.78,h=35.24,p=1008.46",46318
3064,"t=22.78,h=35.24,p=1008.46",46311
3065,"t=22.78,h=35.23,p=1008.44",46315
3066,"t=22.78,h=35.23,p=1008.44",46315
3067,"t=22.78,h=35.25,p=1008.46",46320
3068,"t=22.78,h=35.25,p=1008.46",46316
3069,"t=22.78,h=35.25,p=1008.46",46320
3070,"t=22.78,h=35.25,p=1008.46",46313
3071,"t=22.78,h=35.25,p=1008.49",46313
3072,"t=22.78,h=35.25,p=1008.49",46325
3073,"t=22.79,h=35.25,p=1008.45",46320
3074,"t=22.79,h=35.25,p=1008.45",46327
3075,"t=22.78,h=35.27,p=1008.48",46318
3076,"t=22.78,h=35.27,p=1008.48",46321
3077,"t=22.79,h=35.25,p=1008.49",46312
3078,"t=22.79,h=35.25,p=1008.49",46322
3079,"t=22.78,h=35.29,p=1008.46",46309
3080,"t=22.78,h=35.29,p=1008.46",46323
3081,"t=22.79,h=35.27,p=1008.47",46311
3082,"t=22.79,h=35.27,p=1008.47",46325
3083,"t=22.78,h=35.27,p=1008.47",46347
3084,"t=22.78,h=35.27,p=1008.47",46322
3085,"t=22.78,h=35.25,p=1008.44",46310
3086,"t=22.78,h=35.25,p=1008.44",46311
3087,"t=22.79,h=35.27,p=1008.47",46327
3088,"t=22.79,h=35.27,p=1008.47",46326
3089,"t=22.79,h=35.27,p=1008.49",46323
3090,"t=22.79,h=35.27,p=1008.49",46309
3091,"t=22.78,h=35.25,p=1008.50",46328
3092,"t=22.78,h=35.25,p=1008.50",46319
3093,"t=22.79,h=35.25,p=1008.51",46318
3094,"t=22.79,h=35.25,p=1008.51",46312
3095,"t=22.79,h=35.27,p=1008.50",46320
3096,"t=22.79,h=35.27,p=1008.50",46324
3097,"t=22.79,h=35.27,p=1008.47",46320
3098,"t=22.79,h=35.27,p=1008.47",46314
3099,"t=22.79,h=35.25,p=1008.49",46323
3100,"t=22.79,h=35.25,p=1008.49",46347
3101,"t=22.78,h=35.25,p=1008.47",46318
3102,"t=22.78,h=35.25,p=1008.47",46325
3103,"t=22.79,h=35.25,p=1008.47",46313
3104,"t=22.79,h=35.25,p=1008.47",46325
3105,"t=22.78,h=35.27,p=1008.48",46313
3106,"t=22.78,h=35.27,p=1008.48",46328
3107,"t=22.77,h=35.26,p=1008.46",46308
3108,"t=22.77,h=35.26,p=1008.46",46317
3109,"t=22.78,h=35.27,p=1008.43",46311
3110,"t=22.78,h=35.27,p=1008.43",46320
3111,"t=22.79,h=35.27,p=1008.45",46314
3112,"t=22.79,h=35.27,p=1008.45",46319
3113,"t=22.79,h=35.27,p=1008.43",46315
3114,"t=22.79,h=35.27,p=1008.43",46315
3115,"t=22.79,h=35.27,p=1008.43",46326
3116,"t=22.78,h=35.25,p=1008.42",46337
3117,"t=22.78,h=35.25,p=1008.42",46318
3118,"t=22.78,h=35.27,p=1008.44",46312
3119,"t=22.78,h=35.27,p=1008.44",46319
3120,"t=22.79,h=35.27,p=1008.45",46314
3121,"t=22.79,h=35.27,p=1008.45",46318
3122,"t=22.79,h=35.25,p=1008.46",46315
3123,"t=22.79,h=35.25,p=1008.46",46309
3124,"t=22.78,h=35.27,p=1008.43",46319
3125,"t=22.78,h=35.27,p=1008.43",46310
3126,"t=22.79,h=35.29,p=1008.45",46310
3127,"t=22.79,h=35.29,p=1008.45",46311
3128,"t=22.78,h=35.24,p=1008.47",46319
3129,"t=22.78,h=35.24,p=1008.47",46314
3130,"t=22.79,h=35.25,p=1008.44",46324
3131,"t=22.79,h=35.25,p=1008.44",46318
3132,"t=22.78,h=35.27,p=1008.46",46317
3133,"t=22.78,h=35.27,p=1008.46",46316
3134,"t=22.78,h=35.25,p=1008.46",46320
3135,"t=22.78,h=35.25,p=1008.46",46311
3136,"t=22.79,h=35.27,p=1008.45",46323
3137,"t=22.79,h=35.27,p=1008.45",46313
3138,"t=22.78,h=35.29,p=1008.44",46322
3139,"t=22.78,h=35.29,p=1008.44",46313
3140,"t=22.78,h=35.25,p=1008.45",46318
3141,"t=22.78,h=35.25,p=1008.45",46314
3142,"t=22.78,h=35.25,p=1008.45",46324
3143,"t=22.78,h=35.25,p=1008.45",46323
3144,"t=22.78,h=35.25,p=1008.45",46356
3145,"t=22.78,h=35.25,p=1008.45",46321
3146,"t=22.78,h=35.25,p=1008.48",46337
3147,"t=22.78,h=35.25,p=1008.48",46320
3148,"t=22.79,h=35.27,p=1008.45",46315
3149,"t=22.79,h=35.27,p=1008.45",46320
3150,"t=22.78,h=35.25,p=1008.46",46317
3151,"t=22.78,h=35.25,p=1008.46",46314
3152,"t=22.79,h=35.27,p=1008.47",46323
3153,"t=22.79,h=35.27,p=1008.47",46327
3154,"t=22.79,h=35.25,p=1008.49",46312
3155,"t=22.79,h=35.25,p=1008.49",46321
3156,"t=22.78,h=35.27,p=1008.48",46311
3157,"t=22.78,h=35.27,p=1008.48",46313
3158,"t=22.78,h=35.27,p=1008.45",46325
3159,"t=22.78,h=35.27,p=1008.45",46316
3160,"t=22.79,h=35.27,p=1008.45",46323
3161,"t=22.79,h=35.27,p=1008.45",46314
3162,"t=22.78,h=35.25,p=1008.47",46320
3163,"t=22.78,h=35.25,p=1008.47",46317
3164,"t=22.78,h=35.27,p=1008.46",46306
3165,"t=22.78,h=35.27,p=1008.46",46308
3166,"t=22.78,h=35.27,p=1008.46",46317
3167,"t=22.79,h=35.28,p=1008.49",46312
3168,"t=22.79,h=35.28,p=1008.49",46313
3169,"t=22.78,h=35.28,p=1008.46",46314
3170,"t=22.78,h=35.28,p=1008.46",46343
3171,"t=22.78,h=35.25,p=1008.48",46323
3172,"t=22.78,h=35.25,p=1008.48",46316
3173,"t=22.79,h=35.25,p=1008.48",46322
3174,"t=22.79,h=35.25,p=1008.48",46313
3175,"t=22.78,h=35.27,p=1008.46",46308
3176,"t=22.78,h=35.27,p=1008.46",46311
3177,"t=22.78,h=35.24,p=1008.50",46325
3178,"t=22.78,h=35.24,p=1008.50",46313
3179,"t=22.78,h=35.27,p=1008.45",46363
3180,"t=22.78,h=35.27,p=1008.45",46323
3181,"t=22.78,h=35.25,p=1008.49",46326
3182,"t=22.78,h=35.25,p=1008.49",46317
3183,"t=22.78,h=35.25,p=1008.48",46319
3184,"t=22.78,h=35.25,p=1008.48",46312
3185,"t=22.77,h=35.25,p=1008.47",46318
3186,"t=22.77,h=35.25,p=1008.47",46328
3187,"t=22.78,h=35.25,p=1008.50",46322
3188,"t=22.78,h=35.25,p=1008.50",46329
3189,"t=22.79,h=35.25,p=1008.49",46309
3190,"t=22.79,h=35.25,p=1008.49",46318
3191,"t=22.79,h=35.24,p=1008.50",46313
3192,"t=22.79,h=35.24,p=1008.50",46320
3193,"t=22.79,h=35.25,p=1008.48",46320
3194,"t=22.79,h=35.25,p=1008.48",46323
3195,"t=22.79,h=35.27,p=1008.47",46344
3196,"t=22.79,h=35.27,p=1008.47",46322
3197,"t=22.79,h=35.28,p=1008.52",46312
3198,"t=22.79,h=35.28,p=1008.52",46346
3199,"t=22.79,h=35.27,p=1008.48",46324
3200,"t=22.79,h=35.27,p=1008.48",46318
3201,"t=22.78,h=35.27,p=1008.49",46336
3202,"t=22.78,h=35.27,p=1008.49",46322
3203,"t=22.79,h=35.25,p=1008.49",46321
3204,"t=22.79,h=35.25,p=1008.49",46309
3205,"t=22.79,h=35.25,p=1008.49",46321
3206,"t=22.79,h=35.25,p=1008.49",46316
3207,"t=22.79,h=35.27,p=1008.49",46312
3208,"t=22.79,h=35.27,p=1008.49",46310
3209,"t=22.79,h=35.27,p=1008.50",46320
3210,"t=22.79,h=35.27,p=1008.50",46310
3211,"t=22.78,h=35.27,p=1008.51",46320
3212,"t=22.78,h=35.27,p=1008.51",46313
3213,"t=22.79,h=35.27,p=1008.47",46316
3214,"t=22.79,h=35.27,p=1008.47",46327
3215,"t=22.79,h=35.27,p=1008.47",46366
3216,"t=22.79,h=35.27,p=1008.47",46322
3217,"t=22.79,h=35.27,p=1008.48",46318
3218,"t=22.79,h=35.27,p=1008.48",46322
3219,"t=22.79,h=35.27,p=1008.48",46321
3220,"t=22.78,h=35.27,p=1008.48",46323
3221,"t=22.78,h=35.27,p=1008.48",46317
3222,"t=22.78,h=35.27,p=1008.51",46319
3223,"t=22.78,h=35.27,p=1008.51",46312
3224,"t=22.78,h=35.25,p=1008.47",46317
3225,"t=22.78,h=35.25,p=1008.47",46309
3226,"t=22.78,h=35.24,p=1008.48",46325
3227,"t=22.78,h=35.24,p=1008.48",46314
3228,"t=22.78,h=35.25,p=1008.48",46314
3229,"t=22.78,h=35.25,p=1008.48",46327
3230,"t=22.78,h=35.27,p=1008.47",46320
3231,"t=22.78,h=35.27,p=1008.47",46324
3232,"t=22.79,h=35.29,p=1008.44",46306
3233,"t=22.79,h=35.29,p=1008.44",46322
3234,"t=22.79,h=35.27,p=1008.46",46307
3235,"t=22.79,h=35.27,p=1008.46",46322
3236,"t=22.78,h=35.28,p=1008.43",46313
3237,"t=22.78,h=35.28,p=1008.43",46324
3238,"t=22.79,h=35.25,p=1008.45",46317
3239,"t=22.79,h=35.25,p=1008.45",46324
3240,"t=22.79,h=35.28,p=1008.47",46317
3241,"t=22.79,h=35.28,p=1008.47",46350
3242,"t=22.79,h=35.27,p=1008.45",46323
3243,"t=22.79,h=35.27,p=1008.45",46311
3244,"t=22.79,h=35.27,p=1008.48",46323
3245,"t=22.79,h=35.27,p=1008.48",46370
3246,"t=22.79,h=35.28,p=1008.45",46321
3247,"t=22.79,h=35.28,p=1008.45",46315
3248,"t=22.79,h=35.29,p=1008.47",46320
3249,"t=22.79,h=35.29,p=1008.47",46312
3250,"t=22.79,h=35.29,p=1008.46",46325
3251,"t=22.79,h=35.29,p=1008.46",46311
3252,"t=22.79,h=35.28,p=1008.47",46323
3253,"t=22.79,h=35.28,p=1008.47",46312
3254,"t=22.79,h=35.27,p=1008.47",46321
3255,"t=22.79,h=35.27,p=1008.47",46341
3256,"t=22.79,h=35.25,p=1008.47",46313
3257,"t=22.79,h=35.25,p=1008.47",46328
3258,"t=22.78,h=35.27,p=1008.44",46311
3259,"t=22.78,h=35.27,p=1008.44",46325
3260,"t=22.79,h=35.27,p=1008.48",46313
3261,"t=22.79,h=35.27,p=1008.48",46330
3262,"t=22.79,h=35.27,p=1008.48",46314
3263,"t=22.79,h=35.27,p=1008.48",46323
3264,"t=22.78,h=35.27,p=1008.48",46314
3265,"t=22.78,h=35.27,p=1008.48",46325
3266,"t=22.79,h=35.27,p=1008.49",46323
3267,"t=22.79,h=35.27,p=1008.49",46320
3268,"t=22.79,h=35.27,p=1008.47",46315
3269,"t=22.79,h=35.27,p=1008.47",46330
3270,"t=22.79,h=35.27,p=1008.49",46307
3271,"t=22.79,h=35.27,p=1008.49",46310
3272,"t=22.79,h=35.27,p=1008.49",46326
3273,"t=22.78,h=35.28,p=1008.49",46308
3274,"t=22.78,h=35.28,p=1008.49",46320
3275,"t=22.79,h=35.27,p=1008.52",46320
3276,"t=22.79,h=35.27,p=1008.52",46327
3277,"t=22.78,h=35.27,p=1008.47",46314
3278,"t=22.78,h=35.27,p=1008.47",46329
3279,"t=22.78,h=35.25,p=1008.43",46325
3280,"t=22.78,h=35.25,p=1008.43",46324
3281,"t=22.79,h=35.28,p=1008.46",46315
3282,"t=22.79,h=35.28,p=1008.46",46308
3283,"t=22.79,h=35.27,p=1008.45",46323
3284,"t=22.79,h=35.27,p=1008.45",46311
3285,"t=22.79,h=35.30,p=1008.47",46323
3286,"t=22.79,h=35.30,p=1008.47",46316
3287,"t=22.79,h=35.28,p=1008.46",46319
3288,"t=22.79,h=35.28,p=1008.46",46314
3289,"t=22.79,h=35.27,p=1008.48",46325
3290,"t=22.79,h=35.27,p=1008.48",46319
3291,"t=22.79,h=35.28,p=1008.51",46321
3292,"t=22.79,h=35.28,p=1008.51",46311
3293,"t=22.78,h=35.28,p=1008.48",46333
3294,"t=22.78,h=35.28,p=1008.48",46326
3295,"t=22.79,h=35.28,p=1008.46",46322
3296,"t=22.79,h=35.28,p=1008.46",46308
3297,"t=22.79,h=35.27,p=1008.48",46351
3298,"t=22.79,h=35.27,p=1008.48",46324
3299,"t=22.79,h=35.29,p=1008.44",46308
3300,"t=22.79,h=35.29,p=1008.44",46322
3301,"t=22.79,h=35.30,p=1008.46",46310
3302,"t=22.79,h=35.30,p=1008.46",46313
3303,"t=22.79,h=35.28,p=1008.47",46313
3304,"t=22.79,h=35.28,p=1008.47",46324
3305,"t=22.79,h=35.27,p=1008.49",46309
3306,"t=22.79,h=35.27,p=1008.49",46324
3307,"t=22.79,h=35.28,p=1008.42",46321
3308,"t=22.79,h=35.28,p=1008.42",46317
3309,"t=22.78,h=35.27,p=1008.48",46320
3310,"t=22.78,h=35.27,p=1008.48",46322
